2022-05-31 15:58:11,035 DEBUG  ROS Time: 1653983891 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:13,041 DEBUG  ROS Time: 1653983893 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:15,046 DEBUG  ROS Time: 1653983895 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:17,053 DEBUG  ROS Time: 1653983897 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:19,058 DEBUG  ROS Time: 1653983899 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:21,065 DEBUG  ROS Time: 1653983901 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:23,070 DEBUG  ROS Time: 1653983903 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:25,077 DEBUG  ROS Time: 1653983905 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:27,081 DEBUG  ROS Time: 1653983907 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:29,084 DEBUG  ROS Time: 1653983909 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:31,090 DEBUG  ROS Time: 1653983911 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:33,096 DEBUG  ROS Time: 1653983913 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:35,102 DEBUG  ROS Time: 1653983915 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:37,109 DEBUG  ROS Time: 1653983917 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:39,114 DEBUG  ROS Time: 1653983919 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:41,119 DEBUG  ROS Time: 1653983921 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:43,125 DEBUG  ROS Time: 1653983923 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:45,130 DEBUG  ROS Time: 1653983925 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:47,136 DEBUG  ROS Time: 1653983927 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:49,142 DEBUG  ROS Time: 1653983929 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:51,149 DEBUG  ROS Time: 1653983931 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:53,155 DEBUG  ROS Time: 1653983933 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:55,159 DEBUG  ROS Time: 1653983935 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:57,162 DEBUG  ROS Time: 1653983937 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:59,169 DEBUG  ROS Time: 1653983939 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:59:01,174 DEBUG  ROS Time: 1653983941 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:59:03,181 DEBUG  ROS Time: 1653983943 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:59:05,186 DEBUG  ROS Time: 1653983945 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:59:07,194 DEBUG  ROS Time: 1653983947 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:59:09,201 DEBUG  ROS Time: 1653983949 | active tasks: 0 | terminated tasks: 0 | active robots: 1
